rebalance_date,signal_date,entry_date,holdings,n_holdings,n_sold,n_bought,turnover_est,cost,skipped_no_hold_dates,strategy
2021-06-14,2021-06-14,2021-06-15,"['TSLA', 'MU', 'MDLZ', 'LRCX', 'AMAT', 'ORCL', 'PEP', 'ODFL', 'NVDA', 'MSFT']",10,6,6,1.2,0.0012,False,ML_Base
2021-06-28,2021-06-28,2021-06-29,"['ORCL', 'VRTX', 'LRCX', 'QCOM', 'MDLZ', 'NVDA', 'AMD', 'PEP', 'AAPL', 'GILD']",10,5,5,1.0,0.001,False,ML_Base
2021-07-13,2021-07-13,2021-07-14,"['NVDA', 'LRCX', 'MU', 'QCOM', 'AMAT', 'GOOGL', 'MDLZ', 'VRTX', 'GILD', 'AMZN']",10,4,4,0.8,0.0008,False,ML_Base
2021-07-27,2021-07-27,2021-07-28,"['NVDA', 'MU', 'QCOM', 'GILD', 'ORCL', 'PEP', 'LRCX', 'AMZN', 'AMGN', 'MDLZ']",10,3,3,0.6,0.0006,False,ML_Base
2021-08-10,2021-08-10,2021-08-11,"['AMZN', 'MDLZ', 'EBAY', 'NVDA', 'INTC', 'PEP', 'LRCX', 'AMGN', 'GILD', 'AMAT']",10,3,3,0.6,0.0006,False,ML_Base
2021-09-14,2021-09-14,2021-09-15,"['AMD', 'AAPL', 'QCOM', 'GOOGL', 'AMZN', 'INTC', 'EBAY', 'NVDA', 'SBUX', 'MDLZ']",10,5,5,1.0,0.001,False,ML_Base
2021-09-28,2021-09-28,2021-09-29,"['AMD', 'AAPL', 'GOOGL', 'FAST', 'AMGN', 'QCOM', 'VRTX', 'AMZN', 'ORCL', 'GILD']",10,5,5,1.0,0.001,False,ML_Base
2021-10-12,2021-10-12,2021-10-13,"['LRCX', 'AMAT', 'REGN', 'AMD', 'NVDA', 'AMZN', 'SNPS', 'CDNS', 'CRM', 'MNST']",10,8,8,1.6,0.0016,False,ML_Base
2021-10-26,2021-10-26,2021-10-27,"['PANW', 'INTC', 'AAPL', 'AMZN', 'SNPS', 'GILD', 'PAYX', 'MNST', 'MSFT', 'NVDA']",10,6,6,1.2,0.0012,False,ML_Base
2021-11-09,2021-11-09,2021-11-10,"['INTC', 'GILD', 'NFLX', 'PANW', 'AAPL', 'GOOGL', 'FAST', 'MSFT', 'MNST', 'MU']",10,4,4,0.8,0.0008,False,ML_Base
2021-11-23,2021-11-23,2021-11-24,"['GOOGL', 'MNST', 'NFLX', 'INTC', 'GILD', 'SBUX', 'PEP', 'MSFT', 'MDLZ', 'CRM']",10,4,4,0.8,0.0008,False,ML_Base
2021-12-08,2021-12-08,2021-12-09,"['CRM', 'NFLX', 'EBAY', 'PAYX', 'LRCX', 'ORCL', 'MSFT', 'FAST', 'AMZN', 'GILD']",10,6,6,1.2,0.0012,False,ML_Base
2021-12-22,2021-12-22,2021-12-23,"['FAST', 'ORCL', 'EBAY', 'NFLX', 'MNST', 'INTC', 'NVDA', 'CRM', 'SBUX', 'PEP']",10,5,5,1.0,0.001,False,ML_Base
2022-01-21,2022-01-21,2022-01-24,"['NVDA', 'CRM', 'CDNS', 'QCOM', 'SBUX', 'AVGO', 'FAST', 'PAYX', 'MNST', 'ORCL']",10,4,4,0.8,0.0008,False,ML_Base
2022-02-04,2022-02-04,2022-02-07,"['FAST', 'GILD', 'SBUX', 'INTC', 'MNST', 'CDNS', 'ORCL', 'PEP', 'PANW', 'LRCX']",10,5,5,1.0,0.001,False,ML_Base
2022-02-18,2022-02-18,2022-02-22,"['AMGN', 'VRTX', 'GILD', 'FAST', 'AAPL', 'AVGO', 'MDLZ', 'NFLX', 'ORCL', 'PAYX']",10,7,7,1.4,0.0014,False,ML_Base
2022-03-07,2022-03-07,2022-03-08,"['META', 'NFLX', 'AMZN', 'INTC', 'ORCL', 'MDLZ', 'NVDA', 'AVGO', 'AMGN', 'MNST']",10,5,5,1.0,0.001,False,ML_Base
2022-03-21,2022-03-21,2022-03-22,"['META', 'INTC', 'MNST', 'PEP', 'MDLZ', 'AMGN', 'PAYX', 'GILD', 'GOOGL', 'MSFT']",10,5,5,1.0,0.001,False,ML_Base
2022-04-04,2022-04-04,2022-04-05,"['MDLZ', 'LRCX', 'GOOGL', 'PEP', 'MNST', 'GILD', 'NFLX', 'INTC', 'META', 'AMZN']",10,3,3,0.6,0.0006,False,ML_Base
2022-04-19,2022-04-19,2022-04-20,"['GOOGL', 'MSFT', 'AAPL', 'NVDA', 'SBUX', 'NFLX', 'AVGO', 'AMD', 'INTC', 'EBAY']",10,7,7,1.4,0.0014,False,ML_Base
2022-05-03,2022-05-03,2022-05-04,"['NFLX', 'PAYX', 'PANW', 'INTC', 'NVDA', 'FAST', 'AMD', 'MU', 'AMAT', 'GOOGL']",10,5,5,1.0,0.001,False,ML_Base
2022-05-17,2022-05-17,2022-05-18,"['ISRG', 'AMZN', 'AAPL', 'CRM', 'EBAY', 'INTC', 'GOOGL', 'MSFT', 'SBUX', 'PANW']",10,7,7,1.4,0.0014,False,ML_Base
2022-06-01,2022-06-01,2022-06-02,"['NFLX', 'MDLZ', 'AMZN', 'FAST', 'AAPL', 'PEP', 'PAYX', 'NVDA', 'ISRG', 'MNST']",10,7,7,1.4,0.0014,False,ML_Base
2022-06-15,2022-06-15,2022-06-16,"['NFLX', 'EBAY', 'NVDA', 'AAPL', 'INTC', 'AMZN', 'LRCX', 'PAYX', 'SBUX', 'CDNS']",10,5,5,1.0,0.001,False,ML_Base
2022-06-30,2022-06-30,2022-07-01,"['GILD', 'INTC', 'MNST', 'AVGO', 'EBAY', 'NFLX', 'LRCX', 'FAST', 'META', 'AAPL']",10,5,5,1.0,0.001,False,ML_Base
2022-07-15,2022-07-15,2022-07-18,"['NVDA', 'AMD', 'LRCX', 'FAST', 'GILD', 'AMAT', 'MSFT', 'ODFL', 'CDNS', 'SBUX']",10,7,7,1.4,0.0014,False,ML_Base
2022-07-29,2022-07-29,2022-08-01,"['AMD', 'NFLX', 'NVDA', 'FAST', 'AVGO', 'MU', 'SBUX', 'AMAT', 'EBAY', 'ORCL']",10,5,5,1.0,0.001,False,ML_Base
2022-08-12,2022-08-12,2022-08-15,"['NFLX', 'NVDA', 'SBUX', 'LRCX', 'CRM', 'INTC', 'EBAY', 'AMZN', 'GOOGL', 'GILD']",10,6,6,1.2,0.0012,False,ML_Base
2022-08-26,2022-08-26,2022-08-29,"['AMZN', 'GILD', 'AAPL', 'GOOGL', 'NFLX', 'SBUX', 'FAST', 'MNST', 'META', 'QCOM']",10,5,5,1.0,0.001,False,ML_Base
2022-09-12,2022-09-12,2022-09-13,"['NVDA', 'INTC', 'MSFT', 'FAST', 'AMAT', 'QCOM', 'GOOGL', 'NFLX', 'AMD', 'LRCX']",10,6,6,1.2,0.0012,False,ML_Base
2022-09-26,2022-09-26,2022-09-27,"['ADBE', 'NVDA', 'AMZN', 'GOOGL', 'NFLX', 'INTC', 'FAST', 'SBUX', 'ORCL', 'AMD']",10,4,4,0.8,0.0008,False,ML_Base
2022-10-10,2022-10-10,2022-10-11,"['AMZN', 'NVDA', 'AAPL', 'NFLX', 'INTC', 'ADBE', 'FAST', 'ORCL', 'META', 'MSFT']",10,3,3,0.6,0.0006,False,ML_Base
2022-10-24,2022-10-24,2022-10-25,"['AMD', 'NVDA', 'FAST', 'AMZN', 'MSFT', 'PANW', 'AVGO', 'EBAY', 'LRCX', 'GILD']",10,6,6,1.2,0.0012,False,ML_Base
2022-11-07,2022-11-07,2022-11-08,"['GOOGL', 'META', 'MSFT', 'FAST', 'INTC', 'AAPL', 'AMZN', 'VRTX', 'NFLX', 'LRCX']",10,6,6,1.2,0.0012,False,ML_Base
2022-11-21,2022-11-21,2022-11-22,"['INTC', 'EBAY', 'MU', 'META', 'AMZN', 'GOOGL', 'NVDA', 'LRCX', 'MSFT', 'ODFL']",10,4,4,0.8,0.0008,False,ML_Base
2022-12-06,2022-12-06,2022-12-07,"['AMZN', 'NVDA', 'MSFT', 'AAPL', 'META', 'AVGO', 'QCOM', 'GOOGL', 'FAST', 'ODFL']",10,4,4,0.8,0.0008,False,ML_Base
